WELL_BORE_CODE,DATEPRD,BORE_OIL_VOL
NO 15/9-F-12 H,2008-02-12,284.65
NO 15/9-F-12 H,2008-02-13,1869.7
NO 15/9-F-12 H,2008-02-14,3124.09
NO 15/9-F-12 H,2008-02-15,2608.28
NO 15/9-F-12 H,2008-02-16,3051.8
NO 15/9-F-12 H,2008-02-17,2982.63
NO 15/9-F-12 H,2008-02-18,2980.52
NO 15/9-F-12 H,2008-02-19,3046.19
NO 15/9-F-12 H,2008-02-20,3057.18
NO 15/9-F-12 H,2008-02-21,3030.33
NO 15/9-F-12 H,2008-02-22,2907.56
NO 15/9-F-12 H,2008-02-23,1851.72
NO 15/9-F-12 H,2008-02-24,3126.7
NO 15/9-F-12 H,2008-02-25,3045.54
NO 15/9-F-12 H,2008-02-26,3046.54
NO 15/9-F-12 H,2008-02-27,3035.54
NO 15/9-F-12 H,2008-02-28,2971.55
NO 15/9-F-12 H,2008-02-29,3070.54
NO 15/9-F-12 H,2008-03-01,3068.48
NO 15/9-F-12 H,2008-03-02,3066.54
NO 15/9-F-12 H,2008-03-03,3043.54
NO 15/9-F-12 H,2008-03-04,2983.19
NO 15/9-F-12 H,2008-03-05,2967.05
NO 15/9-F-12 H,2008-03-06,2950.88
NO 15/9-F-12 H,2008-03-07,2656.62
NO 15/9-F-12 H,2008-03-08,2578.48
NO 15/9-F-12 H,2008-03-09,2996.83
NO 15/9-F-12 H,2008-03-10,3021.4
NO 15/9-F-12 H,2008-03-11,3010.4
NO 15/9-F-12 H,2008-03-12,2794.44
NO 15/9-F-12 H,2008-03-13,3058.89
NO 15/9-F-12 H,2008-03-14,2964.81
NO 15/9-F-12 H,2008-03-15,3131.37
NO 15/9-F-12 H,2008-03-16,3135.37
NO 15/9-F-12 H,2008-03-17,3143.37
NO 15/9-F-12 H,2008-03-18,3132.37
NO 15/9-F-12 H,2008-03-19,3139.62
NO 15/9-F-12 H,2008-03-20,3156.67
NO 15/9-F-12 H,2008-03-21,3192.14
NO 15/9-F-12 H,2008-03-22,3172.12
NO 15/9-F-12 H,2008-03-23,3160.26
NO 15/9-F-12 H,2008-03-24,3153.35
NO 15/9-F-12 H,2008-03-25,3130.58
NO 15/9-F-12 H,2008-03-26,960.26
NO 15/9-F-12 H,2008-03-27,0.0
NO 15/9-F-12 H,2008-03-28,73.44
NO 15/9-F-12 H,2008-03-29,3137.26
NO 15/9-F-12 H,2008-03-30,1430.95
NO 15/9-F-12 H,2008-03-31,1950.58
NO 15/9-F-12 H,2008-04-01,3060.6
NO 15/9-F-12 H,2008-04-02,3053.67
NO 15/9-F-12 H,2008-04-03,3103.12
NO 15/9-F-12 H,2008-04-04,3110.68
NO 15/9-F-12 H,2008-04-05,3303.3
NO 15/9-F-12 H,2008-04-06,3028.41
NO 15/9-F-12 H,2008-04-07,2998.8
NO 15/9-F-12 H,2008-04-08,3054.12
NO 15/9-F-12 H,2008-04-09,3025.8
NO 15/9-F-12 H,2008-04-10,3003.22
NO 15/9-F-12 H,2008-04-11,3015.97
NO 15/9-F-12 H,2008-04-12,1615.37
NO 15/9-F-12 H,2008-04-13,429.77
NO 15/9-F-12 H,2008-04-14,2578.63
NO 15/9-F-12 H,2008-04-15,2494.26
NO 15/9-F-12 H,2008-04-16,2847.56
NO 15/9-F-12 H,2008-04-17,1120.57
NO 15/9-F-12 H,2008-04-18,2448.14
NO 15/9-F-12 H,2008-04-19,2513.65
NO 15/9-F-12 H,2008-04-20,2752.75
NO 15/9-F-12 H,2008-04-21,2752.3
NO 15/9-F-12 H,2008-04-22,2737.24
NO 15/9-F-12 H,2008-04-23,2735.53
NO 15/9-F-12 H,2008-04-24,2730.33
NO 15/9-F-12 H,2008-04-25,2727.65
NO 15/9-F-12 H,2008-04-26,2747.01
NO 15/9-F-12 H,2008-04-27,1985.59
NO 15/9-F-12 H,2008-04-29,546.58
NO 15/9-F-12 H,2008-04-30,3011.83
NO 15/9-F-12 H,2008-05-01,3167.59
NO 15/9-F-12 H,2008-05-02,3163.92
NO 15/9-F-12 H,2008-05-03,3173.19
NO 15/9-F-12 H,2008-05-04,3188.85
NO 15/9-F-12 H,2008-05-05,3186.96
NO 15/9-F-12 H,2008-05-06,3176.89
NO 15/9-F-12 H,2008-05-07,3171.32
NO 15/9-F-12 H,2008-05-08,3170.85
NO 15/9-F-12 H,2008-05-09,3188.02
NO 15/9-F-12 H,2008-05-10,3415.68
NO 15/9-F-12 H,2008-05-11,3701.51
NO 15/9-F-12 H,2008-05-12,4002.28
NO 15/9-F-12 H,2008-05-13,4253.12
NO 15/9-F-12 H,2008-05-14,4279.91
NO 15/9-F-12 H,2008-05-15,4439.62
NO 15/9-F-12 H,2008-05-16,4582.9
NO 15/9-F-12 H,2008-05-17,4677.42
NO 15/9-F-12 H,2008-05-18,4688.63
NO 15/9-F-12 H,2008-05-19,4687.74
NO 15/9-F-12 H,2008-05-20,4885.56
NO 15/9-F-12 H,2008-05-21,5013.12
NO 15/9-F-12 H,2008-05-22,5017.55
NO 15/9-F-12 H,2008-05-23,5019.23
NO 15/9-F-12 H,2008-05-24,5034.28
NO 15/9-F-12 H,2008-05-25,5045.72
NO 15/9-F-12 H,2008-05-26,5053.01
NO 15/9-F-12 H,2008-05-27,5065.87
NO 15/9-F-12 H,2008-05-28,5072.27
NO 15/9-F-12 H,2008-05-29,5086.33
NO 15/9-F-12 H,2008-05-30,3869.22
NO 15/9-F-12 H,2008-05-31,0.0
NO 15/9-F-12 H,2008-06-01,22.94
NO 15/9-F-12 H,2008-06-02,4019.51
NO 15/9-F-12 H,2008-06-03,4999.75
NO 15/9-F-12 H,2008-06-04,5067.01
NO 15/9-F-12 H,2008-06-05,5040.47
NO 15/9-F-12 H,2008-06-06,5058.13
NO 15/9-F-12 H,2008-06-07,5057.56
NO 15/9-F-12 H,2008-06-08,5070.12
NO 15/9-F-12 H,2008-06-09,5081.36
