TEST_DATE,OIL,WELL_NAME
2009-10-25,4190.37,NO 15/9-F-12 H
2009-10-26,4306.5,NO 15/9-F-12 H
2009-10-27,4313.37,NO 15/9-F-12 H
2009-10-28,4348.44,NO 15/9-F-12 H
2009-10-29,4274.9,NO 15/9-F-12 H
2009-10-30,4957.61,NO 15/9-F-12 H
2009-10-31,4840.81,NO 15/9-F-12 H
2009-11-01,4852.06,NO 15/9-F-12 H
2009-11-02,4829.38,NO 15/9-F-12 H
2009-11-03,4817.07,NO 15/9-F-12 H
2009-11-04,3153.99,NO 15/9-F-12 H
2009-11-05,4434.99,NO 15/9-F-12 H
2009-11-06,4403.93,NO 15/9-F-12 H
2009-11-07,4448.0,NO 15/9-F-12 H
2009-11-08,4470.57,NO 15/9-F-12 H
2009-11-09,4089.83,NO 15/9-F-12 H
2009-11-10,4245.19,NO 15/9-F-12 H
2009-11-11,4401.54,NO 15/9-F-12 H
2009-11-12,4408.51,NO 15/9-F-12 H
2009-11-13,4378.76,NO 15/9-F-12 H
2009-11-14,4413.39,NO 15/9-F-12 H
2009-11-15,4446.8,NO 15/9-F-12 H
2009-11-16,4517.33,NO 15/9-F-12 H
2009-11-17,4724.62,NO 15/9-F-12 H
2009-11-18,4874.86,NO 15/9-F-12 H
2009-11-19,4842.29,NO 15/9-F-12 H
2009-11-20,4004.63,NO 15/9-F-12 H
2009-11-21,4846.82,NO 15/9-F-12 H
2009-11-22,4840.84,NO 15/9-F-12 H
2009-11-23,3930.03,NO 15/9-F-12 H
2009-11-24,4126.56,NO 15/9-F-12 H
2009-11-25,4837.35,NO 15/9-F-12 H
2009-11-26,4880.73,NO 15/9-F-12 H
2009-11-27,4864.71,NO 15/9-F-12 H
2009-11-28,4855.39,NO 15/9-F-12 H
2009-11-29,5013.4,NO 15/9-F-12 H
2009-11-30,5062.11,NO 15/9-F-12 H
2009-12-01,5031.44,NO 15/9-F-12 H
2009-12-02,5047.98,NO 15/9-F-12 H
2009-12-03,5043.73,NO 15/9-F-12 H
2009-12-04,5485.34,NO 15/9-F-12 H
2009-12-05,5189.7,NO 15/9-F-12 H
2009-12-06,5303.4,NO 15/9-F-12 H
2009-12-07,5467.62,NO 15/9-F-12 H
2009-12-08,5604.33,NO 15/9-F-12 H
2009-12-09,5601.13,NO 15/9-F-12 H
2009-12-10,5549.21,NO 15/9-F-12 H
2009-12-11,5480.45,NO 15/9-F-12 H
2009-12-12,5465.07,NO 15/9-F-12 H
2009-12-13,5049.73,NO 15/9-F-12 H
2009-12-14,5380.51,NO 15/9-F-12 H
2009-12-15,5366.63,NO 15/9-F-12 H
2009-12-16,5358.32,NO 15/9-F-12 H
2009-12-17,5017.66,NO 15/9-F-12 H
2009-12-18,2516.72,NO 15/9-F-12 H
2009-12-19,3377.75,NO 15/9-F-12 H
2009-12-20,4228.61,NO 15/9-F-12 H
2009-12-21,5347.19,NO 15/9-F-12 H
2009-12-22,5355.93,NO 15/9-F-12 H
2009-12-23,5153.65,NO 15/9-F-12 H
2009-12-24,5063.78,NO 15/9-F-12 H
2009-12-25,5164.96,NO 15/9-F-12 H
2009-12-26,5148.7,NO 15/9-F-12 H
2009-12-27,5098.58,NO 15/9-F-12 H
2009-12-28,5298.31,NO 15/9-F-12 H
2009-12-29,5281.46,NO 15/9-F-12 H
2009-12-30,5280.42,NO 15/9-F-12 H
2009-12-31,5243.21,NO 15/9-F-12 H
2010-01-01,5261.93,NO 15/9-F-12 H
2010-01-02,5256.37,NO 15/9-F-12 H
2010-01-03,5227.61,NO 15/9-F-12 H
2010-01-04,5199.02,NO 15/9-F-12 H
2010-01-05,5206.38,NO 15/9-F-12 H
2010-01-06,5200.27,NO 15/9-F-12 H
2010-01-07,5189.62,NO 15/9-F-12 H
2010-01-08,5185.95,NO 15/9-F-12 H
2010-01-09,4034.53,NO 15/9-F-12 H
2010-01-10,5140.65,NO 15/9-F-12 H
2010-01-11,5157.86,NO 15/9-F-12 H
2010-01-12,5161.22,NO 15/9-F-12 H
2010-01-13,5136.39,NO 15/9-F-12 H
2010-01-14,5092.0,NO 15/9-F-12 H
2010-01-15,5033.93,NO 15/9-F-12 H
2010-01-16,4979.19,NO 15/9-F-12 H
2010-01-17,4905.73,NO 15/9-F-12 H
2010-01-18,4689.19,NO 15/9-F-12 H
2010-01-19,4647.39,NO 15/9-F-12 H
2010-01-20,4628.38,NO 15/9-F-12 H
2010-01-21,4586.62,NO 15/9-F-12 H
2010-01-22,4563.26,NO 15/9-F-12 H
2010-01-23,4010.69,NO 15/9-F-12 H
2010-01-24,4441.06,NO 15/9-F-12 H
2010-01-25,4596.67,NO 15/9-F-12 H
2010-01-26,3953.58,NO 15/9-F-12 H
2010-01-27,4419.93,NO 15/9-F-12 H
2010-01-28,4625.59,NO 15/9-F-12 H
2010-01-29,4705.52,NO 15/9-F-12 H
2010-01-30,4720.13,NO 15/9-F-12 H
2010-01-31,4702.17,NO 15/9-F-12 H
2010-02-01,4673.25,NO 15/9-F-12 H
2010-02-02,4544.83,NO 15/9-F-12 H
2010-02-03,4285.02,NO 15/9-F-12 H
2010-02-04,4111.36,NO 15/9-F-12 H
2010-02-05,4257.01,NO 15/9-F-12 H
2010-02-06,4234.42,NO 15/9-F-12 H
2010-02-07,4140.35,NO 15/9-F-12 H
2010-02-08,4326.64,NO 15/9-F-12 H
2010-02-09,4300.52,NO 15/9-F-12 H
2010-02-10,4248.97,NO 15/9-F-12 H
2010-02-11,4106.17,NO 15/9-F-12 H
2010-02-12,3815.94,NO 15/9-F-12 H
2010-02-13,3737.49,NO 15/9-F-12 H
2010-02-14,2111.37,NO 15/9-F-12 H
2010-02-15,2059.14,NO 15/9-F-12 H
2010-02-16,4108.39,NO 15/9-F-12 H
2010-02-17,4040.4,NO 15/9-F-12 H
2010-02-18,3211.46,NO 15/9-F-12 H
2010-02-19,4027.02,NO 15/9-F-12 H
2010-02-20,3945.82,NO 15/9-F-12 H
2010-02-21,4037.43,NO 15/9-F-12 H
2010-02-22,3994.39,NO 15/9-F-12 H
2010-02-23,3461.1,NO 15/9-F-12 H
2010-02-24,3991.13,NO 15/9-F-12 H
2010-02-25,3287.55,NO 15/9-F-12 H
2010-02-26,2860.87,NO 15/9-F-12 H
2010-02-27,3107.96,NO 15/9-F-12 H
2010-03-02,0.0,NO 15/9-F-12 H
2010-03-03,3466.01,NO 15/9-F-12 H
2010-03-04,4144.87,NO 15/9-F-12 H
2010-03-05,4025.56,NO 15/9-F-12 H
2010-03-06,3444.62,NO 15/9-F-12 H
2010-03-08,2405.72,NO 15/9-F-12 H
2010-03-09,4344.86,NO 15/9-F-12 H
2010-03-10,4258.59,NO 15/9-F-12 H
2010-03-11,3500.93,NO 15/9-F-12 H
2010-03-12,2540.89,NO 15/9-F-12 H
2010-03-13,3716.44,NO 15/9-F-12 H
2010-03-14,3801.87,NO 15/9-F-12 H
2010-03-15,3860.92,NO 15/9-F-12 H
2010-03-16,3717.81,NO 15/9-F-12 H
2010-03-17,3831.2,NO 15/9-F-12 H
2010-03-18,3926.86,NO 15/9-F-12 H
2010-03-19,3887.46,NO 15/9-F-12 H
2010-03-20,3848.11,NO 15/9-F-12 H
2010-03-21,3827.75,NO 15/9-F-12 H
2010-03-22,3454.15,NO 15/9-F-12 H
2010-03-23,3413.36,NO 15/9-F-12 H
2010-03-24,3405.79,NO 15/9-F-12 H
2010-03-25,3426.37,NO 15/9-F-12 H
2010-03-26,3524.65,NO 15/9-F-12 H
2010-03-27,3587.86,NO 15/9-F-12 H
2010-03-28,3510.63,NO 15/9-F-12 H
2010-03-29,3739.71,NO 15/9-F-12 H
2010-03-30,3473.56,NO 15/9-F-12 H
2010-03-31,3485.06,NO 15/9-F-12 H
2010-04-01,786.82,NO 15/9-F-12 H
2010-04-02,3407.69,NO 15/9-F-12 H
2010-04-03,3186.88,NO 15/9-F-12 H
2010-04-04,3495.15,NO 15/9-F-12 H
2010-04-05,3428.88,NO 15/9-F-12 H
2010-04-06,3342.4,NO 15/9-F-12 H
2010-04-07,3330.01,NO 15/9-F-12 H
2010-04-08,3198.19,NO 15/9-F-12 H
2010-04-09,3170.37,NO 15/9-F-12 H
2010-04-10,3148.09,NO 15/9-F-12 H
2010-04-11,3124.35,NO 15/9-F-12 H
2010-04-12,3107.58,NO 15/9-F-12 H
2010-04-13,3100.02,NO 15/9-F-12 H
2010-04-14,3215.36,NO 15/9-F-12 H
2010-04-15,3220.01,NO 15/9-F-12 H
2010-04-16,3258.75,NO 15/9-F-12 H
2010-04-17,2865.27,NO 15/9-F-12 H
2010-04-18,3150.88,NO 15/9-F-12 H
2010-04-19,3190.98,NO 15/9-F-12 H
2010-04-20,3403.93,NO 15/9-F-12 H
2010-04-21,2968.51,NO 15/9-F-12 H
2010-04-22,2949.86,NO 15/9-F-12 H
2010-04-23,2903.27,NO 15/9-F-12 H
2010-04-24,2516.03,NO 15/9-F-12 H
2010-04-25,2154.23,NO 15/9-F-12 H
2010-04-26,1635.39,NO 15/9-F-12 H
2010-04-27,2507.96,NO 15/9-F-12 H
2010-04-28,1793.49,NO 15/9-F-12 H
2010-04-29,2119.15,NO 15/9-F-12 H
2010-04-30,2574.11,NO 15/9-F-12 H
2010-05-01,2587.54,NO 15/9-F-12 H
2010-05-02,2641.29,NO 15/9-F-12 H
2010-05-03,2658.88,NO 15/9-F-12 H
2010-05-04,1522.51,NO 15/9-F-12 H
2010-05-05,2573.93,NO 15/9-F-12 H
2010-05-06,2530.85,NO 15/9-F-12 H
2010-05-07,2493.99,NO 15/9-F-12 H
2010-05-08,2482.15,NO 15/9-F-12 H
2010-05-09,2474.84,NO 15/9-F-12 H
2010-05-10,2766.03,NO 15/9-F-12 H
2010-05-11,2748.61,NO 15/9-F-12 H
2010-05-12,2712.34,NO 15/9-F-12 H
2010-05-13,2666.04,NO 15/9-F-12 H
2010-05-14,2701.72,NO 15/9-F-12 H
2010-05-15,2696.78,NO 15/9-F-12 H
2010-05-16,2685.18,NO 15/9-F-12 H
2010-05-17,2669.66,NO 15/9-F-12 H
2010-05-18,2640.27,NO 15/9-F-12 H
2010-05-19,2573.72,NO 15/9-F-12 H
2010-05-20,2549.16,NO 15/9-F-12 H
2010-05-21,2520.76,NO 15/9-F-12 H
2010-05-22,2503.59,NO 15/9-F-12 H
2010-05-23,2500.34,NO 15/9-F-12 H
2010-05-24,2496.19,NO 15/9-F-12 H
2010-05-25,2483.03,NO 15/9-F-12 H
2010-05-26,2475.77,NO 15/9-F-12 H
2010-05-27,2420.87,NO 15/9-F-12 H
2010-05-28,2013.37,NO 15/9-F-12 H
2010-05-29,2455.94,NO 15/9-F-12 H
2010-05-30,2345.76,NO 15/9-F-12 H
2010-05-31,1522.45,NO 15/9-F-12 H
2010-06-01,1812.37,NO 15/9-F-12 H
2010-06-02,2421.43,NO 15/9-F-12 H
2010-06-03,2404.05,NO 15/9-F-12 H
2010-06-04,2384.74,NO 15/9-F-12 H
2010-06-05,2349.81,NO 15/9-F-12 H
2010-06-06,2343.56,NO 15/9-F-12 H
2010-06-07,2380.74,NO 15/9-F-12 H
2010-06-08,2384.64,NO 15/9-F-12 H
2010-06-09,2381.92,NO 15/9-F-12 H
2010-06-10,2377.7,NO 15/9-F-12 H
2010-06-11,2420.55,NO 15/9-F-12 H
2010-06-12,2408.2,NO 15/9-F-12 H
2010-06-13,2434.38,NO 15/9-F-12 H
2010-06-14,2391.83,NO 15/9-F-12 H
2010-06-15,2383.61,NO 15/9-F-12 H
2010-06-16,2353.23,NO 15/9-F-12 H
2010-06-17,2377.86,NO 15/9-F-12 H
2010-06-18,2370.38,NO 15/9-F-12 H
2010-06-19,1944.86,NO 15/9-F-12 H
2010-06-20,2342.72,NO 15/9-F-12 H
2010-06-21,2347.6,NO 15/9-F-12 H
2010-06-22,2329.46,NO 15/9-F-12 H
2010-06-23,2314.21,NO 15/9-F-12 H
2010-06-24,2312.64,NO 15/9-F-12 H
2010-06-25,2284.2,NO 15/9-F-12 H
2010-06-26,2281.66,NO 15/9-F-12 H
2010-06-27,2277.83,NO 15/9-F-12 H
2010-06-28,2271.85,NO 15/9-F-12 H
2010-06-29,2266.84,NO 15/9-F-12 H
2010-06-30,2262.5,NO 15/9-F-12 H
2010-07-01,2254.67,NO 15/9-F-12 H
2010-07-02,2257.16,NO 15/9-F-12 H
2010-07-03,2574.63,NO 15/9-F-12 H
2010-07-04,2607.44,NO 15/9-F-12 H
2010-07-05,2617.56,NO 15/9-F-12 H
2010-07-06,2625.72,NO 15/9-F-12 H
2010-07-07,2544.95,NO 15/9-F-12 H
2010-07-08,2553.36,NO 15/9-F-12 H
2010-07-09,2555.11,NO 15/9-F-12 H
2010-07-10,1939.01,NO 15/9-F-12 H
2010-07-11,2424.14,NO 15/9-F-12 H
2010-07-12,2269.88,NO 15/9-F-12 H
2010-07-13,1826.45,NO 15/9-F-12 H
